quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,236,0,2,1,0,2,40,416,240,42352,0.611328,0.0,1.457031,0.0,0.988281,0.401188,2.461914,0.9091799999999999,4.5462,0.5625,0.375,0.7460939999999999,0.484375,11530.0,4085.0,1.0
22,593,0,1,0,3,9,121,416,240,42352,1.631836,0.0,4.945312,1.0,0.5820310000000001,3.7858300000000003,5.233398,5.336914,20.67598,0.59375,0.5625,0.9912110000000001,0.5273439999999999,5112.0,10890.0,1.0
22,588,0,1,1,9,3,132,416,240,42352,1.7675779999999999,0.0,0.828125,1.015625,5.226562,4.134228,4.435547,5.179688,17.254573999999998,0.46875,0.59375,0.49902299999999994,0.616211,2717.0,7798.0,1.0
22,1434,0,0,0,21,13,301,416,240,42352,3.766602,1.765625,1.90625,7.6328119999999995,3.7617190000000003,5.6031059999999995,8.791992,10.918944999999999,38.749237,0.875,0.429688,1.515625,0.620056,14088.0,16155.0,1.0
22,1957,0,0,1,15,11,363,416,240,52731,5.358398,6.6796880000000005,3.8828120000000004,4.785156,6.085938,1.19527,16.277344,12.935547,50.747528,2.75,2.3125,16.96875,11.214844,4713.0,4189.0,1.0
22,1646,0,1,1,6,9,347,416,240,52731,4.505859,3.140625,3.546875,6.628906,4.707031,1.832829,11.827148,12.297852,38.197231,1.867188,2.09375,8.505798,10.444336,9857.0,9984.0,1.0
22,1952,0,0,0,12,15,397,416,240,52731,5.25293,4.726562,3.8554690000000003,5.960938,6.46875,1.052363,12.965819999999999,12.237305000000001,58.216301,1.96875,3.210938,4.530273,12.697693,5542.0,5753.0,1.0
22,2867,0,0,0,9,24,469,416,240,52731,10.329102,10.40625,11.007812,9.269531,10.632812,0.420379,25.507812,38.992188,366.322357,10.734375,7.2734380000000005,1105.741943,176.651794,20290.0,19569.0,1.0
22,824,0,0,1,6,6,121,416,240,52731,1.7392580000000002,4.628906,0.7148439999999999,0.230469,1.3828120000000002,2.9507470000000002,5.441406,6.921875,28.608772,2.546875,6.140625,36.716553000000005,118.073975,16654.0,16112.0,1.0
22,857,0,1,1,6,6,163,416,240,52731,2.270508,1.605469,2.289062,1.390625,3.796875,0.886653,5.955078,7.294922,15.541082999999999,0.515625,3.46875,0.49975600000000003,20.405273,16385.0,17407.0,1.0
22,693,0,0,1,15,7,104,416,240,52731,2.100586,0.617188,1.050781,1.5234379999999998,5.210938,3.327487,3.5,6.933594,98.940079,1.09375,3.359375,2.928711,29.636475,7104.0,10271.0,1.0
22,1454,0,0,1,0,15,303,416,240,52731,4.220703,6.003906,4.828125,1.726562,4.324219,2.445057,10.581055000000001,10.895508,41.386837,4.109375,2.8125,16.628662,8.246094,18893.0,20409.0,1.0
22,697,0,0,3,9,1,148,416,240,52731,1.8085939999999998,0.269531,2.304688,0.0,4.660156,3.504311,5.775391,5.339844,13.955551000000002,3.328125,3.03125,16.236083999999998,14.186523000000001,11773.0,11968.0,1.0
22,499,0,1,0,0,6,112,416,240,52731,1.2373049999999999,1.628906,3.3203120000000004,0.0,0.0,1.8885299999999998,3.452148,4.227539,15.837241,1.5,1.9375,3.0,4.933594,17596.0,17533.0,0.0
22,43,0,1,3,0,0,0,416,240,52731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,2.625,3.734375,13.234375,2238.0,2342.0,1.0
22,394,0,0,3,0,2,75,416,240,52731,0.902344,1.9960939999999998,0.0,1.613281,0.0,0.832542,3.385742,2.856445,5.58226,0.8125,3.4375,0.7773439999999999,6.871094,9366.0,9779.0,1.0
22,1296,0,0,1,3,9,284,416,240,52731,3.694336,4.8125,4.089844,2.40625,3.46875,0.779193,10.137694999999999,11.409180000000001,24.052078,0.625,3.0,0.484375,5.25,12663.0,12813.0,1.0
22,1059,0,0,1,3,8,205,416,240,52731,2.72168,2.316406,3.8203120000000004,2.566406,2.183594,0.42122200000000004,7.594727000000001,8.026367,14.200857999999998,1.921875,3.90625,2.915771,12.866211,18356.0,14704.0,1.0
22,972,0,0,0,18,6,199,416,240,52731,2.729492,6.070312,2.050781,2.796875,0.0,4.769099,8.512694999999999,7.541992,54.199287,3.210938,1.3125,16.947693,3.5429690000000003,13469.0,14217.0,1.0
